Timestamp,Gx,Gy,Gz,Servo_Angle,Speed
2026-05-26 21:36:28.526,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.611,0.366,0.244,0.915,120.0,-14.547
2026-05-26 21:36:28.636,0.366,0.244,0.915,120.0,-14.969
2026-05-26 21:36:28.652,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:28.713,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.730,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.745,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:28.802,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:28.822,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.926,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:28.948,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.964,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:29.026,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:29.041,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:29.057,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:29.128,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:29.150,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:29.166,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.235,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:29.260,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:29.275,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.335,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:29.353,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.369,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:29.435,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:29.447,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.463,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:29.554,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.572,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.659,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.679,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:29.695,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:29.759,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.774,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.790,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:29.859,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:29.883,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:29.899,0.366,0.244,0.915,120.0,-12.228
